id,doc,frame,minority,linguistic_minority,religious_minority,social_class_minority,sexual_orientation_minority,ethnic_minority,national_minority,other_minority,disabled_minority,age_numerical,income,citizenship,education,political_left_right,exp_housing_discrim,city_district,city_neighborhood,prof_situation,fear_forced_out,seen_landlord_pressure,changes_in_community,seen_renovations,neighborhood_connection,respect_rules,neighbhorhood_crime,env_pollution_impact,climate_concern,age,city,country,preframe_densifproj_acceptance,postframe_densifproj_acceptance,densifproj_on_rent,densifproj_on_social,politics,politics_w_extremes,gender_Female,gender_Male,gender_Non-binary,gender_Prefer not to say,Group.1,imce_RentContr,imce_InclZon,imce_Partic,imce_nonProf,imce_dens,imce_mixUse,imce_ClimNeutr
R_27mc1IUohDnHLJc,Yo yo bro I don't know why ,other district,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,34.0,3.0,US Born,Bachelor's degree,5.0,Yes,Northwest Side,Irving Park,Employed (full-time),1,1,-1,-1,0,0,0,9.0,1,2,Chicago,United States,-1,2,1,2,conservative,conservative,0,1,0,0,R_27mc1IUohDnHLJc,0.0220670768867666,-0.234954009679883,-0.683005293162425,0.693151936555211,0.584444858793643,0.0,0.164813115564379
R_2t4hIY0ZIHl8qyx,Too many legalities,other district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,3.0,US Born,Bachelor's degree,2.0,No,North Side,Lakeview,Employed (part-time),0,-1,-1,1,1,0,-1,6.0,1,5,Chicago,United States,0,1,0,0,liberal,liberal,1,0,0,0,R_2t4hIY0ZIHl8qyx,0.325623170987342,0.281968030107043,0.287956007590153,0.345675208593927,0.336072684454783,-0.157564775895745,0.226235818566683
R_1pyvscLvOeh2qGp,"Generally, I didn't agree with the subsidized housing issue.",other district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,5.0,US Born,Bachelor's degree,2.0,No,Northwest Side,Dunning,Employed (full-time),-1,-1,1,0,1,1,0,8.0,2,5,Chicago,United States,0,-2,2,1,liberal,liberal,1,0,0,0,R_1pyvscLvOeh2qGp,0.0,-0.803766608761551,0.116171882681252,0.0146006279523312,0.710315140529814,0.387604427244031,-0.522975607863538
R_wMfrir8KQUppFJv,Because some are great,other district,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3.0,US Naturalization,Bachelor's degree,4.0,Yes,Northwest Side,Irving Park,Employed (full-time),-2,1,1,2,1,1,1,5.0,2,1,Chicago,United States,2,0,-1,1,moderate,moderate,0,1,0,0,R_wMfrir8KQUppFJv,0.236206379183666,0.0256876232881547,0.849777889962898,-0.0268471488785263,-0.744864820055679,-0.553509411897685,0.0659715695136182
R_2XbXCVxQoRtnk77,It's only logical to go by the decisions I made based on what I feel is healthy for the community.,other district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,8.0,US Born,Bachelor's degree,3.0,No,Northwest Side,Irving Park,Employed (full-time),-2,-2,-2,0,2,2,2,3.0,2,3,Chicago,United States,2,3,0,0,moderate,moderate,1,0,0,0,R_2XbXCVxQoRtnk77,-0.644050202235768,-0.833450757669778,0.636217642685114,-0.0209298702494049,0.595586202110265,0.267217588810563,-0.0251690200305784
R_0OCvynke1ghnruF,some of them seem to me to be good and others not so good proposals,other district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,6.0,US Born,Doctoral degree,1.0,No,Far Southwest Side,Morgan Park,Employed (full-time),1,1,1,2,2,2,2,8.0,2,3,Chicago,United States,2,3,2,2,liberal,liberal,1,0,0,0,R_0OCvynke1ghnruF,-0.519130986267489,-0.300488595742515,0.99009900990099,0.0047672966336249,-0.0325870511215045,0.63847826467758,0.490307923155456
R_3foSCMfz6f6PdCW,I think the 10 percent is too high of a yearly increase,other district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,6.0,US Born,Secondary school certificate,6.0,No,Northwest Side,Irving Park,Not working (retired),-1,-1,0,0,0,0,1,4.0,0,5,Chicago,United States,0,0,0,1,conservative,conservative,0,1,0,0,R_3foSCMfz6f6PdCW,0.851301357461728,-0.0437568959376722,0.335190155548923,0.260721604730232,0.104543725875729,0.38608832080555,0.0569390722558194
R_XsPaEV0UEgjAjNT,because I think it is too good ,other district,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,44.0,9.0,US Born,Master's degree,6.0,Yes,North Side,North Center,Employed (full-time),1,1,1,0,1,0,2,9.0,2,3,Chicago,United States,2,2,2,3,conservative,conservative,0,1,0,0,R_XsPaEV0UEgjAjNT,0.241054335976885,-0.0229783215465073,-0.677651121299292,-0.451128979109947,0.624036114214999,0.553468515816227,-0.0584013101458974
R_1I9FfvfciRYf7xL,I think there should be more affordable housing for seniors.,other district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,3.0,US Born,Apprenticeship,4.0,No,Northwest Side,Portage Park,Not working (retired),-1,-2,0,1,1,-1,-1,7.0,2,5,Chicago,United States,2,0,0,0,moderate,moderate,1,0,0,0,R_1I9FfvfciRYf7xL,0.0,0.678928244835418,0.660940026139724,-0.587416787510204,-0.470735514204254,-0.442569017991869,0.582236640181292
R_2RVrt5a0u3Lus4q,"I am of the notion of physical interaction but I also want to state that unregulated price increase of rent is mere fraud, give room for the most basic amenities",other district,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,34.0,4.0,US Born,Bachelor's degree,4.0,No,Northwest Side,Portage Park,Employed (full-time),1,1,1,1,1,0,1,7.0,1,2,Chicago,United States,1,1,2,1,moderate,moderate,0,1,0,0,R_2RVrt5a0u3Lus4q,0.018659736225599,-0.0263002452480487,0.487732898143945,-0.192615265584785,-0.206941851030665,0.079054649673679,0.67802355352043
R_8AJ9NrWHcsztZC1,Was the better choice ,other district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,4.0,US Born,Apprenticeship,6.0,Yes,Southwest Side,Chicago Lawn,Employed (part-time),0,0,1,2,1,2,1,5.0,0,1,Chicago,United States,1,2,-1,1,conservative,conservative,0,1,0,0,R_8AJ9NrWHcsztZC1,-0.274166766753782,-0.231116657915937,0.186979365336531,-0.83351674324489,-0.0208295696412406,0.00108517762995,-0.248704303736483
R_25BGRXIYoyO0vqY,I felt too much was one sided,other district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,8.0,US Born,Bachelor's degree,5.0,No,"Central, Near North, and Near North Side",Loop,Employed (full-time),0,1,-1,0,1,-1,-2,9.0,-2,5,Chicago,United States,0,-2,3,-2,conservative,conservative,1,0,0,0,R_25BGRXIYoyO0vqY,0.384689252686769,0.308316364162043,0.225153669947465,-0.360107720931176,0.349913536751309,0.258638322391453,-0.392609366289925
R_2EaG4Slowa8u6vI,prefer national not international developers,other district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,5.0,US Born,Secondary school certificate,2.0,No,North Side,Lakeview,Not working (retired),-2,-2,0,1,0,0,-2,6.0,2,5,Chicago,United States,0,0,1,-1,liberal,liberal,1,0,0,0,R_2EaG4Slowa8u6vI,0.0671279192025808,0.359906527106087,0.370452338441834,-0.669989995490802,-0.26749438578382,-0.309253646449374,0.471384905313112
R_OD8bdkAQ2McDD3j,"Was more in favor of projects with smaller overall density increases, but buttressed the business establishment in the neighborhood. ",other district,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,54.0,6.0,US Born,Master's degree,5.0,Yes,North Side,Lakeview,Employed (full-time),0,-1,1,1,1,-1,0,6.0,1,4,Chicago,United States,1,1,-1,1,conservative,conservative,0,1,0,0,R_OD8bdkAQ2McDD3j,-0.146157907968651,-0.21091469633933,0.340291295747678,-0.260725566212728,-0.19916278481828,0.172622079177621,0.106980773180863
R_VR9oI3korJ2RSx3,"I like some proposal , because I think that's alright ",district,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,6.0,US Born,Bachelor's degree,6.0,No,West and Near West Side,West Town,Employed (full-time),2,0,1,1,1,1,2,9.0,2,4,Chicago,United States,-1,2,2,2,conservative,conservative,0,1,0,0,R_VR9oI3korJ2RSx3,0.0108878992130745,-0.0311009894544713,-0.626300533107445,0.200874351553209,0.269186719238414,0.0,-0.0107676132031481
R_1dBsP0wiodbtJHq,The increase of rent building place that would bring in more crimes,other district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,1.0,US Born,Secondary school certificate,7.0,Yes,South Side,Washington Park,Employed (part-time),2,2,2,2,-1,2,-2,10.0,2,5,Chicago,United States,1,-3,-2,-1,conservative,very conservative,1,0,0,0,R_1dBsP0wiodbtJHq,-0.361885865320482,-0.352085282654142,0.840604895700624,-0.734177755331104,0.288049922016099,0.869951153578157,0.210776841721863
R_10o9Vqr8SPASx6A,Rent Increase or for profit investors,other district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,10.0,US Born,Bachelor's degree,1.0,Yes,West and Near West Side,Humboldt Park,Employed (full-time),-1,-1,1,0,1,1,0,6.0,2,2,Chicago,United States,1,0,3,1,liberal,liberal,1,0,0,0,R_10o9Vqr8SPASx6A,-0.449958487374065,-0.024158395957728,0.282825433858306,0.588711735125253,-0.601435108821312,0.578900544671631,-0.0012100667248758
R_WkRYtnoo6Ohej9n,"I want the lowest population density, plus I am opposed to rent control. I believe in the free market",other district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,6.0,US Born,Bachelor's degree,6.0,No,Northwest Side,Irving Park,Employed (full-time),-1,-1,1,1,1,0,-1,6.0,0,4,Chicago,United States,-3,-3,-2,2,conservative,conservative,0,1,0,0,R_WkRYtnoo6Ohej9n,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_7PoGb9y3ogHSA5H,I think the neighborhood should be involved in deciding building things ,other district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,7.0,US Born,Higher technical examination,3.0,No,Far North Side,O’Hare,Employed (full-time),-2,-2,-2,-2,1,-2,1,3.0,1,3,Chicago,United States,-1,2,-1,-1,moderate,moderate,1,0,0,0,R_7PoGb9y3ogHSA5H,0.0,0.0157306188062584,-0.177069024410063,-0.294821589692402,-0.0376643207195947,-0.0369073225617058,0.0712176969589376
R_2sceuzLAPUduXvN,some communities don't have enough job security,other district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,2.0,US Born,No school certificate,1.0,No,South Side,Bridgeport,Homemaker,-2,0,1,1,2,2,-2,5.0,2,4,Chicago,United States,3,2,-2,0,liberal,liberal,1,0,0,0,R_2sceuzLAPUduXvN,0.346215656765185,-0.336645186412295,-0.230588379722982,0.252247671913698,-0.417638752943318,0.18347205876999,0.296457727125825
R_bIUP00WM6hk4VkR,It was a good proposal and a good quality product and services,other district,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,2.0,US Born,Bachelor's degree,7.0,Yes,North Side,Lakeview,Employed (full-time),2,1,1,1,1,1,2,10.0,2,3,Chicago,United States,3,2,2,2,conservative,very conservative,0,1,0,0,R_bIUP00WM6hk4VkR,-0.635497407706687,0.514194923877777,0.742833293290478,0.413320863859486,0.153139230565159,-0.0118733242534322,-0.246659195183042
R_Zk0nk1SaA8I8xXz,My decision was on the proposal that sound the best to me.,other district,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,57.0,2.0,US Born,Secondary school certificate,0.0,No,Northwest Side,Portage Park,Homemaker,-2,1,1,-1,0,-2,-2,6.0,1,5,Chicago,United States,1,1,-1,1,liberal,very liberal,1,0,0,0,R_Zk0nk1SaA8I8xXz,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_1LzKpSE1Jg4u1s0,I'm for anything that improves the city and helps people out,other district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,8.0,US Born,Bachelor's degree,4.0,No,Far North Side,Rogers Park,Employed (full-time),0,0,0,0,0,0,0,6.0,0,3,Chicago,United States,2,1,1,0,moderate,moderate,0,1,0,0,R_1LzKpSE1Jg4u1s0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_3NVTOeYdXjX4c3U,Because the proposal was less for 1 than 2 I chose proposal number 1,other district,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,1.0,US Born,Higher education entrance qualification,5.0,Yes,"Central, Near North, and Near North Side",Near South Side,Employed (full-time),2,-1,1,1,0,2,2,4.0,1,1,Chicago,United States,0,-2,2,-1,conservative,conservative,1,0,0,0,R_3NVTOeYdXjX4c3U,0.823984806951876,0.118580360224801,0.650472540062083,0.0241563828737603,-0.0752576530606654,-0.405355317148416,-0.39885497198561
R_2EdaXuwA2ExyhY4,I want to be involved in my community ,neighborhood,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,46.0,6.0,US Born,Bachelor's degree,4.0,Yes,South Side,Washington Park,Employed (full-time),-1,-1,1,1,1,-1,-1,1.0,-1,4,Chicago,United States,0,-2,-2,1,moderate,moderate,0,1,0,0,R_2EdaXuwA2ExyhY4,0.22600025725734,0.0,0.0,-0.0173397469991414,-0.746713408238951,-0.6214591116349,0.618476725159961
R_1mF5RNo50gQcEpF,I don't like having any international investors so I would almost always vote against that. I also don't care for 50% or more population density,other district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,5.0,US Born,Bachelor's degree,4.0,Do not know,Far North Side,West Ridge,Employed (full-time),-1,-1,0,-2,0,1,0,4.0,-1,3,Chicago,United States,0,-1,1,1,moderate,moderate,1,0,0,0,R_1mF5RNo50gQcEpF,0.296523707784492,0.369467984104972,0.0,0.344471322622359,-0.174298461896855,0.264405469325281,-0.394419418738915
R_1GVx0KkLqz2tFFE,Well I disagree with some people I don't side with them.,district,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,US Born,Secondary school certificate,1.0,No,Southwest Side,Chicago Lawn,Not employed (unemployed),1,0,2,1,-1,1,-1,5.0,2,2,Chicago,United States,0,-1,-3,-1,liberal,liberal,1,0,0,0,R_1GVx0KkLqz2tFFE,-0.595362618951612,-0.025971276419142,-0.172532936888937,0.217987524609374,0.286104996739059,-0.259071911777139,0.0095533689911086
R_3QJIjbZoJhSC82W,I am torn on rent control.  I haven't fully decided if it is good or not.,other district,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,51.0,6.0,US Born,Bachelor's degree,0.0,Do not know,Far North Side,Rogers Park,Employed (full-time),-2,-2,-1,-1,-2,2,-2,5.0,0,4,Chicago,United States,3,3,-1,2,liberal,very liberal,0,1,0,0,R_3QJIjbZoJhSC82W,-0.168165651268294,-0.112232461886111,-0.134375753771411,0.121801209323837,-0.128266787087626,-0.117534428137952,0.16195564480757
R_Z8YWig97Lgzjnhv,Because its something I can benefit from ,neighborhood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,2.0,US Born,Secondary school certificate,4.0,No,South Side,South Shore,Employed (full-time),-2,-2,1,1,0,0,-2,8.0,1,2,Chicago,United States,1,0,0,1,moderate,moderate,0,1,0,0,R_Z8YWig97Lgzjnhv,0.387980985444806,0.192368109969099,-0.509976326298496,0.369890099790132,-0.272830875392809,-0.155670003257512,-0.086203826658684
R_3QL4K3CMPOdYfUA,They tend to push out the lower and middle income in favor of upper or higher income,other district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,1.0,US Born,Higher education entrance qualification,4.0,No,Far South Side,Riverdale,Employed (part-time),-2,-1,-1,-2,-2,1,-2,10.0,1,5,Chicago,United States,0,0,3,-3,moderate,moderate,1,0,0,0,R_3QL4K3CMPOdYfUA,-0.495137849300844,0.321875876803154,0.0,0.0701546692226515,0.0,-0.354303209709883,0.563997886589069
R_3oTwWysQnNZ3NC8,It's very explanative and descriptive,neighborhood,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,10.0,US Born,Doctoral degree,0.0,Yes,Northwest Side,Irving Park,Employed (full-time),2,2,1,1,2,1,1,3.0,2,3,Chicago,United States,3,3,3,3,liberal,very liberal,0,1,0,0,R_3oTwWysQnNZ3NC8,0.565843262582733,-0.0469741479697362,0.170375826345564,-0.241734397248788,0.791338925524959,0.397376104515551,0.406751685758278
R_12FR5M7KFUpIzvA,I feel the there is positivity and negativity in all,other district,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,5.0,US Born,Bachelor's degree,0.0,No,Northwest Side,Montclare,Employed (full-time),0,-1,0,-1,1,1,0,5.0,1,4,Chicago,United States,0,0,0,0,liberal,very liberal,0,1,0,0,R_12FR5M7KFUpIzvA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R_3RygYbGokkCwhOo,Increasing the rent is not something I'm in favor of,other district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,9.0,US Born,Secondary school certificate,3.0,No,"Central, Near North, and Near North Side",Near North Side,Employed (full-time),1,0,0,1,0,0,1,5.0,1,3,Chicago,United States,0,0,0,0,moderate,moderate,1,0,0,0,R_3RygYbGokkCwhOo,0.0184840888985602,0.0146875773196519,-0.576915311580774,-0.173813311254952,-0.210325837297221,0.335443683613505,0.142647780473005
R_1pRKr6iyMHYJCTz,Mostly along lines of affordability,other district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,7.0,US Born,Bachelor's degree,4.0,Yes,North Side,Lakeview,Employed (full-time),-2,0,1,-1,1,-1,1,4.0,0,3,Chicago,United States,0,-2,-1,1,moderate,moderate,1,0,0,0,R_1pRKr6iyMHYJCTz,-0.380749370255113,0.275187580242231,-0.257157790496935,0.216791700209522,0.309548809239592,-0.37643320456915,0.333657477137898
R_1QtkjalS49lS5sd,Very good proposal.,neighborhood,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,2.0,US Born,Bachelor's degree,0.0,Yes,West and Near West Side,West Town,Employed (full-time),1,1,0,1,2,1,2,10.0,2,3,Chicago,United States,-1,2,1,2,liberal,very liberal,0,1,0,0,R_1QtkjalS49lS5sd,0.187693876056727,-0.276671780138884,0.0,-0.382380312080736,-0.127573681636878,-0.0002609779581131,-0.0095785796864053
R_3JaxHktvgL70NkU,Rent caps for a specified time are ineffective. Time after time the owners have drastically raised rents as soon as the initial term expires.,district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,1.0,US Born,Higher education entrance qualification,1.0,No,North Side,Lakeview,Not working (disability/illness),0,1,0,0,-1,-1,0,7.0,2,5,Chicago,United States,0,-1,0,-1,liberal,liberal,1,0,0,0,R_3JaxHktvgL70NkU,0.0,0.152626882759236,-0.268808400440365,-0.157709960983081,-0.642917642828558,0.405183756483744,0.578873707335784
R_RyRGiDxwvIBNvRn,I don't know enough ,neighborhood,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0,2.0,US Naturalization,Higher education entrance qualification,6.0,Yes,North Side,Avondale,Not employed (unemployed),1,1,0,1,0,-1,1,5.0,2,2,Chicago,United States,3,1,0,-1,conservative,conservative,0,1,0,0,R_RyRGiDxwvIBNvRn,-0.428521234413599,-0.426693308513421,-0.315500226021264,-0.0895834123932391,-0.381206643778443,-0.366412135737935,-0.0738154638089437
R_2VPDHNSumq6yMSK,Residents have a say and housing is affordable,neighborhood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,US Born,Secondary school certificate,1.0,Yes,Northwest Side,Dunning,Employed (part-time),-1,-1,1,1,1,-1,0,9.0,2,1,Chicago,United States,2,2,2,-1,liberal,liberal,1,0,0,0,R_2VPDHNSumq6yMSK,-0.439543388848655,0.208328243128295,0.829286508377531,0.307504440829136,-0.381237219204607,-0.355664254585629,0.0327576107250894
R_12aIiP3env4CeyS,I don't want crime to go up ,neighborhood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,10.0,US Born,Master's degree,1.0,No,Far North Side,West Ridge,Employed (full-time),-2,-2,2,2,2,-2,-2,5.0,1,3,Chicago,United States,3,-3,3,3,liberal,liberal,0,1,0,0,R_12aIiP3env4CeyS,0.0,0.089202299535725,0.131976461956524,-0.264501256665526,0.11776824571106,0.0882934776306601,0.24777224840128
R_2qyIMWMysuvUNBK,None can be implemented fairly,neighborhood,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,66.0,2.0,US Born,Bachelor's degree,3.0,Yes,South Side,South Shore,Not working (other reason),-2,-1,1,-1,-1,1,-2,6.0,1,5,Chicago,United States,0,0,-1,0,moderate,moderate,1,0,0,0,R_2qyIMWMysuvUNBK,0.239431606213398,-0.220305224018654,-0.0937766050546599,-0.186775760727728,0.705553997156247,-0.549621521845637,0.141083528885545
R_32WUvaonaDQLeWs,Mostly because it affects the community more,other district,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,10.0,US Born,Bachelor's degree,3.0,Yes,South Side,Hyde Park,Employed (part-time),-2,1,-1,0,1,-1,-1,5.0,1,1,Chicago,United States,2,1,-2,0,moderate,moderate,1,0,0,0,R_32WUvaonaDQLeWs,-0.466307765618253,0.122457916935011,0.727832518688794,-0.608739028399559,0.13813740430441,-0.439135302018939,0.226361811639915
R_1gBF350Q70ODMow,Because all the  proposals felt like they could do something ,neighborhood,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,5.0,US Born,Secondary school certificate,4.0,Yes,North Side,North Center,Employed (full-time),0,0,0,0,0,0,0,6.0,1,1,Chicago,United States,-1,1,0,-1,moderate,moderate,1,0,0,0,R_1gBF350Q70ODMow,0.0,-0.0675454473840416,-0.139369422417308,-0.141983570023625,-0.157027374707077,0.279838517084842,0.116369867510426
