,ResponseId,Q12.6,Q12.6_corrected,city
44,R_8AJ9NrWHcsztZC1,Was the better choice ,Was the better choice ,Chicago
45,R_25BGRXIYoyO0vqY,I felt too much was one sided,I felt too much was one sided,Chicago
46,R_2EaG4Slowa8u6vI,prefer national not internation developers,prefer national not international developers,Chicago
47,R_OD8bdkAQ2McDD3j,"Was more in favor of projects with smaller overall density increases, but buttressed the business establishment in the neighborhood. ","Was more in favor of projects with smaller overall density increases, but buttressed the business establishment in the neighborhood. ",Chicago
48,R_3niSsacyYbIcR2F,,,Chicago
49,R_VR9oI3korJ2RSx3,"i like some proposal , because I thing that's allright ","I like some proposal , because I think that's alright ",Chicago
50,R_3gXAdwC1MV7NCiZ,yes,yes,Chicago
51,R_1I78x7X8SCTGFKY,40,40,Chicago
52,R_1dBsP0wiodbtJHq,The increase of rent building place that would bring in more crimes,The increase of rent building place that would bring in more crimes,Chicago
53,R_10o9Vqr8SPASx6A,Rent Increase or for profit investors,Rent Increase or for profit investors,Chicago
54,R_WkRYtnoo6Ohej9n,"I want the lowest population density, plus I am opposed to rent control. I believe in the free market","I want the lowest population density, plus I am opposed to rent control. I believe in the free market",Chicago
55,R_1dAfh1FKT4pvAnI,,,Chicago
56,R_3oF3TWp5vJ1DuVC,Great proposal,Great proposal,Chicago
57,R_7PoGb9y3ogHSA5H,O think the neighborhood should be involved in deciding building thing's ,I think the neighborhood should be involved in deciding building things ,Chicago
58,R_2ZJFEzmkU3Vf8XK,Good,Good,Chicago
59,R_1gtKBKxnY2wKuG5,,,Chicago
60,R_2sceuzLAPUduXvN,some communities dont have enough job sercruity,some communities don't have enough job security,Chicago
61,R_22mmnpCVa59iSav,Convenience ,Convenience ,Chicago
62,R_3NFjaY3vjHJ8YLH,good,good,Chicago
63,R_bIUP00WM6hk4VkR,It was a good proposal and a good quality product and services,It was a good proposal and a good quality product and services,Chicago
64,R_Zk0nk1SaA8I8xXz,My decision was on the proposal that sound the best to me.,My decision was on the proposal that sound the best to me.,Chicago
65,R_0JwmXYCTnVpuYYV,Nigh,Nigh,Chicago
66,R_1LzKpSE1Jg4u1s0,I'm for anything that improves the city and helps people out,I'm for anything that improves the city and helps people out,Chicago
67,R_3NVTOeYdXjX4c3U,Because the proposal was less for 1 than 2 I vhoose ptoposal number 1,Because the proposal was less for 1 than 2 I chose proposal number 1,Chicago
68,R_pyKEl7RfMZ42oRH,Good ,Good ,Chicago
69,R_3Jgvu0OX9DckE4z,i dont know,I don't know,Chicago
70,R_psG0HAn3TtXLyFz,rent control ,rent control ,Chicago
71,R_2EdaXuwA2ExyhY4,I want to be involved in my community ,I want to be involved in my community ,Chicago
72,R_1mF5RNo50gQcEpF,i don't like having any international investors so I would almost always vote against that.  I also don't care for 50% or more pop densit.,I don't like having any international investors so I would almost always vote against that. I also don't care for 50% or more population density,Chicago
73,R_1GVx0KkLqz2tFFE,Well I disagree with some people I don't side with them.,Well I disagree with some people I don't side with them.,Chicago
74,R_3Oq1r42M1xiLiwk,,,Chicago
75,R_3EZuhQ0X3TeENFq,,,Chicago
76,R_3QJIjbZoJhSC82W,I am torn on rent control.  I haven't fully decided if it is good or not.,I am torn on rent control.  I haven't fully decided if it is good or not.,Chicago
77,R_DCcKC5ZLnJ1MKqZ,good,good,Chicago
78,R_Z8YWig97Lgzjnhv,Because its something I can benefit from ,Because its something I can benefit from ,Chicago
79,R_3QL4K3CMPOdYfUA,They tend to push out the lower and middle income in favor of upper or higher income,They tend to push out the lower and middle income in favor of upper or higher income,Chicago
80,R_Oxk8WlfcRJYzQOZ,general usage ,general usage ,Chicago
81,R_1hzCZZHtBtPIZDz,Fyfgfx,,Chicago
82,R_3QEFhhIPmicqnAo,Bzsbsnsbsn,,Chicago
83,R_3oTwWysQnNZ3NC8,It's very explanative and descriptive,It's very explanative and descriptive,Chicago
84,R_12FR5M7KFUpIzvA,i feel the there is positivity and negativity in all,I feel the there is positivity and negativity in all,Chicago
85,R_3RygYbGokkCwhOo,Increasing the rent is not something I'm in favor of,Increasing the rent is not something I'm in favor of,Chicago
86,R_1qZXQ9NwZrLOtA5,it is very good,it is very good,Chicago
87,R_24GCNjznQaJfYLY,ok,ok,Chicago
88,R_27KD7uAukcOJKGQ,Idk,Idk,Chicago
89,R_1N5pKdElWCb1X8w,,,Chicago
90,R_1FSYYGonMCpChoZ,good,good,Chicago
91,R_1pRKr6iyMHYJCTz,Mostly along lines of affordability,Mostly along lines of affordability,Chicago
92,R_1j84NtalJQQCOmC,Favor,Favor,Chicago
93,R_1QtkjalS49lS5sd,Very good proposal.,Very good proposal.,Chicago
94,R_3L6non9Hwqrb88I,Nope,Nope,Chicago
95,R_3JaxHktvgL70NkU,Rent caps for a specified time are ineffective. Time after time the owners have drastically raised rents as soon as the initial term expires.,Rent caps for a specified time are ineffective. Time after time the owners have drastically raised rents as soon as the initial term expires.,Chicago
96,R_10SfSnR5zLKjAtP,,,Chicago
97,R_RyRGiDxwvIBNvRn,I don't know enough ,I don't know enough ,Chicago
98,R_2VPDHNSumq6yMSK,Residents have a say and housing is arrodable,Residents have a say and housing is affordable,Chicago
99,R_3k7WGQKZ4BEm0FK, N/A,,Chicago
100,R_12aIiP3env4CeyS,I don't want crime to go up ,I don't want crime to go up ,Chicago
101,R_eY6qDo8By5MKvRL,,,Chicago
102,R_2qyIMWMysuvUNBK,None can be implemented fairly,None can be implemented fairly,Chicago
103,R_32WUvaonaDQLeWs,Mostly because it affects the community more,Mostly because it affects the community more,Chicago
104,R_1j7WZvAn43sN3SG,,,Chicago
105,R_1gBF350Q70ODMow,Because all the  proposals felt like they could do something ,Because all the  proposals felt like they could do something ,Chicago
106,R_2wAm8Zm2lF2O4CO,I like how the servey was not confusing ,I like how the survey was not confusing ,Chicago
107,R_2VF2M5Jyu2X8EXx,Some Proposals Had Good Prospects Some Didn't.,Some Proposals Had Good Prospects Some Didn't.,Chicago
108,R_1CguVirLWgRemum,"Prefer 0% climate impact; no foreign investor, some rent control, mixed occupancy & limited growth in population.","Prefer 0% climate impact; no foreign investor, some rent control, mixed occupancy & limited growth in population.",Chicago
109,R_1jHQv26kLJvRmui,5,5,Chicago
110,R_9RKlSWp0Xatt2ZX,Because it's better ,Because it's better ,Chicago
111,R_yx6gKUNudtMt4jf,Idk,Idk,Chicago
112,R_1LwdZ8fCERExAcF,,,Chicago
113,R_2VEDVLgaHLW8vUR,The percentage overall on any subject,The percentage overall on any subject,Chicago
114,R_3iEJsXaYL1FcgPU,I was mainly looking at whether there are residential apartments only or mixed ,I was mainly looking at whether there are residential apartments only or mixed ,Chicago
115,R_273zn12JogYk4lD,The way my family ks,The way my family is,Chicago
116,R_3J2Hz4usRoWgdod,how much government involvemen. density of population ,how much government involvement density of population ,Chicago
117,R_3qCFK3jbSjYmoql,I like this all survey questions.,I like this all survey questions.,Chicago
118,R_3R8CaxTXEciOk3p,no,no,Chicago
119,R_6Xt8a93uJsRgNJT,I am wary of for-profit investors in general and thing all of the percentages of affordable housing were too low.,I am wary of for-profit investors in general and think all of the percentages of affordable housing were too low.,Chicago
120,R_2Bzmo1ubhOsTDju,,,Chicago
121,R_3e3PrDYHTrKKWYZ,,,Chicago
122,R_237Qa58f7IIrAR8,,,Chicago
123,R_1jVwJU6YrDMutdV,I like my neighborhood and would love to see it further developed.,I like my neighborhood and would love to see it further developed.,Chicago
124,R_24Ph1qqTdWWjc6j,With the virus going around and people have lost their jobs we don't need a rent increase now,With the virus going around and people have lost their jobs we don't need a rent increase now,Chicago
125,R_3fiYkZQi6j7mHdy,,,Chicago
126,R_3s6YBvvaag5aXWX,rent in the city of Chicago ,rent in the city of Chicago ,Chicago
127,R_rf0Ew1Spy9qCZWx,having a project like this would bring more traffic to an already densely populated areaa,having a project like this would bring more traffic to an already densely populated area,Chicago
128,R_yNCMCv2fD7OpUwp,"I tried to focus on lower density, more local business and how it would be funded. ","I tried to focus on lower density, more local business and how it would be funded. ",Chicago
129,R_77N08cNHSkpiD1n,The rent,The rent,Chicago
130,R_2cbDyDnWu2K5ucp,I am concern about the amount of affordable housing,I am concerned about the amount of affordable housing,Chicago
131,R_5pztVpn7HMi81SV,very good,very good,Chicago
132,R_2ebrS5Vmh0ZQUYS,Great choice,Great choice,Chicago
133,R_BS403NPCY2cKqsN,Building large buildings for housing brings the neighborhood down,Building large buildings for housing brings the neighborhood down,Chicago
134,R_1Ijgb8Q1C3y9rDa,"I decided for or against certain proposals because to prevent overcrowding of the community, some things are to be avoided ","I decided for or against certain proposals because to prevent overcrowding of the community, some things are to be avoided ",Chicago
135,R_AKIimK4YY8EpJsZ,Residents should be involved in changes,Residents should be involved in changes,Chicago
136,R_XFgOf2Z0qFSpTnb,,,Chicago
137,R_2wzRi6PBsiaDDjv,,,Chicago
138,R_2dhBNVrUSdHIYhq,"100% population is unreasonable. It would lead to overcrowding, crime and disease.","100% population is unreasonable. It would lead to overcrowding, crime and disease.",Chicago
139,R_suN0it6OVJAFYZz,Good,Good,Chicago
140,R_wOhxD11wB1bylXj,,,Chicago
141,R_w1Bq9hrXK1I0TNn,"I am against bringing more big projects and population to an already densly populated area. As a homeowner, I do not want more people congesting the neighborhood. ","I am against bringing more big projects and population to an already densely populated area. As a homeowner, I do not want more people congesting the neighborhood. ",Chicago
142,R_eb8u6XH3LWIn4OZ,I'm not in favor of rent control. The community needs to be involved. Government housing isn't the greatest run management. Would want low density l,I'm not in favor of rent control. The community needs to be involved. Government housing isn't the greatest run management. Would want low density,Chicago
143,R_1pQZCNgeOvPq8PE,just because its right ,just because its right ,Chicago
144,R_2yeIKHVboq80byE,Because the proposal which is appealing to me I accept them.,Because the proposal which is appealing to me I accept them.,Chicago
145,R_2TpBFaFNdoneXuS,This is good and fun.,This is good and fun.,Chicago
146,R_1QJAjrhWBu8bQAw,Sksksksksksksmso,,Chicago
147,R_2ZCasikBnNa50UE,increase crime,increase crime,Chicago
148,R_2zMhqwAThc3dDQA,my opinion,my opinion,Chicago
149,R_vALTHi478VYy9y1,"Because some of them are increasing of some percentage and other no, also I would like be involve in some decisions and not only someone else only.","Because some of them are increasing of some percentage and other no, also I would like be involve in some decisions and not only someone else only.",Chicago
150,R_p4UiphLHWOK8Pdv,,,Chicago
151,R_3ozJhbpLVa6oTmF,Climate neutral with some rent controls.,Climate neutral with some rent controls.,Chicago
152,R_2tyYnR7Ok6exRko,Nothing,Nothing,Chicago
153,R_qRDs9PM6iZItaPT,Really not into that.,Really not into that.,Chicago
154,R_2BlgZYnX6HHXYa0,"i a in favor of rent caps in maxium 10 percent increase. the working class are barely making it, work all day everyday to barely be able to pay rent ","I am in favor of rent caps in maximum 10 percent increase. the working class are barely making it, work all day everyday to barely be able to pay rent ",Chicago
155,R_3HqvkmXdpZYBVPM,The biggest one I decided against was to have small businesses as  well as apartments in the same building. These two go against one another in the short and long run. The biggest obstacle would be the crime,The biggest one I decided against was to have small businesses as  well as apartments in the same building. These two go against one another in the short and long run. The biggest obstacle would be the crime,Chicago
156,R_2zSb5phhBJrTqYT,Looked at overall impact of proposals and chose that had the most benefit to the area or least harm,Looked at overall impact of proposals and chose that had the most benefit to the area or least harm,Chicago
157,R_2D1B0kSh2hH0Xet,I did the best I could with the facts,I did the best I could with the facts,Chicago
158,R_pSMUXVTjj4GAXy9,yes ,yes ,Chicago
159,R_3ht0hzApLEbHTel,,,Chicago
160,R_2sZ85yYnZ8EF9ea,Its better,Its better,Chicago
161,R_1DZKrp8336lU3ME,"The big factors are low income housing (should be higher than 20%), net zero carbon emissions is a plus, any for-profit company is a minus, and over 50% increase in population density is insane unless you're gonna put a Mariano's on the ground floor.","The big factors are low income housing (should be higher than 20%), net zero carbon emissions is a plus, any for-profit company is a minus, and over 50% increase in population density is insane unless you're going to put a Mariano's on the ground floor.",Chicago
162,R_1l3ioOx5qQqzJZg,Because all it wanted was housing,Because all it wanted was housing,Chicago
163,R_Q3v5GtIvcWEeAzn,Climate ,Climate ,Chicago
164,R_11isE8L07U4n9fo,To many white people and not enough minority ,To many white people and not enough minority ,Chicago
165,R_4TkFxgigcrOSrRv,Population increase is a decisive factor for me. ,Population increase is a decisive factor for me. ,Chicago
166,R_1Hiv2h0ptQFhyeR,I'm generally in favor of most proposals because I like the idea of communities being more inclusive toward low income and small businesses ,I'm generally in favor of most proposals because I like the idea of communities being more inclusive toward low income and small businesses ,Chicago
167,R_1oniWP3jiq5LOz2,Fully use of the land and decrease the property tax.,Fully use of the land and decrease the property tax.,Chicago
168,R_1g2blNC1LzslB1a,,,Chicago
169,R_Wp32InDsxcQ8pdD,Idk,Idk,Chicago
170,R_2UXgNDDWRAwoAox,"In my opinion, housing projects generally becomes a way to stack the marginalized, disenfranchised and poor together in a way that somehow make them even more marginalized, disenfranchised and somehowdisconnectedand isolated within the community it sits. ","In my opinion, housing projects generally becomes a way to stack the marginalized, disenfranchised and poor together in a way that somehow make them even more marginalized, disenfranchised and somehow disconnected and isolated within the community it sits. ",Chicago
171,R_10MdPGkpFrwwzfR,no reason,no reason,Chicago
172,R_3ezwnJSPN4loyva,,,Chicago
173,R_29n5jPev4kSazCB,,,Chicago
174,R_3PtS7GO40eVBGEu,The quality,The quality,Chicago
175,R_1popLz8njZCMeAG,I do not agree with an increase in population density greater than 20%.  ,I do not agree with an increase in population density greater than 20%.  ,Chicago
176,R_a9pdKAXEtD8s0qB,I don't mind a certain degree of public housing. THey can be good neighbors,I don't mind a certain degree of public housing. They can be good neighbors,Chicago
177,R_10OaX2eEKBR2Z3D,,,Chicago
178,R_stbm4FywTpDYC6R,density above 20% is too much for this area and resident input is needed,density above 20% is too much for this area and resident input is needed,Chicago
179,R_3Gvs4uetamM2nHE,"rent controls generally lead to housing shortages, so I am against them","rent controls generally lead to housing shortages, so I am against them",Chicago
180,R_1ri8CB2CEh5RKHh,I looked to see what would benefit the neighborhood more,I looked to see what would benefit the neighborhood more,Chicago
181,R_Zxkds9dSMBeEKE9,Rent control needs to be in place so most can afford to live.,Rent control needs to be in place so most can afford to live.,Chicago
182,R_3dFyfGWa6c2RtDj,Overall increasing rental costs is making it prohibitive to live in neighborhood.,Overall increasing rental costs is making it prohibitive to live in neighborhood.,Chicago
183,R_BsLI9BBsiKsaFzz,Opinión ,Opinion,Chicago
184,R_1IN92T7kRf7BC0o,too much crime,too much crime,Chicago
185,R_bCnbhSOOMUlITf3,What's best for the neighborhood ,What's best for the neighborhood ,Chicago
186,R_esAD5nEJ0TxpLQR,ª,,Chicago
187,R_2Vxs82hfqfHFHZs,I asked for help ,I asked for help ,Chicago
188,R_cGbH5I6CI8ET5n3,"I do like the idea of packing more people into the city because chicago has to many problems to begin with that they are not dealing with. Bad police, horrible debt, poor schools. They need to focus on those problems before looking to increase populations.","I don't like the idea of packing more people into the city because Chicago has too many problems to begin with that they are not dealing with. Bad police, horrible debt, poor schools. They need to focus on those problems before looking to increase populations.",Chicago
189,R_AAmnfTBdRmLoTi9,great choice,great choice,Chicago
190,R_3HZzeKfaKa9AShd,,,Chicago
191,R_3ESVeWt1tUqz3qI,I think Proposal 2 would fit great for me and my family ,I think Proposal 2 would fit great for me and my family ,Chicago
192,R_1IQQuIg46kzccjx,Yea,Yea,Chicago
193,R_1jeL8Jq1LEAPf7v,"I looked for affordable housing, businesses and apartments, and climate effect.","I looked for affordable housing, businesses and apartments, and climate effect.",Chicago
194,R_1OJgPzOkOqVZC41,it was fun,it was fun,Chicago
195,R_24cNff5fDJkPBJP,interesting ideas  but not more people,interesting ideas but not more people,Chicago
196,R_2QhANevhRV0eT8i,,,Chicago
197,R_1C7OewxEHbXeXQb,I am in favor of having residents opinions as to what to build because we are the ones living in here sontherefore we know what WE NEED. Is good to have new buldings but not increasing population.,I am in favor of having residents opinions as to what to build because we are the ones living in here so therefore we know what WE NEED. Is good to have new buildings but not increasing population.,Chicago
198,R_3fH5bVQauTe5cbd,I need more room,I need more room,Chicago
199,R_42yyDV9zVIZRTG1,good one,good one,Chicago
200,R_3nvGVHeffgv8PEK,Not too sure,Not too sure,Chicago
201,R_31GjcwJK0OFJwbB,"I don't actually accept most of these, considering it's outrageous the rent in Chicago and there's so many abandoned lots and worthless condos that could be turned into homeless shelters considering even home owners can't pay the disgusting and unfair property tax. Chicago politicians desevere to lose long time decade old residents like my family to leave this city and never look back.","I don't actually accept most of these, considering it's outrageous the rent in Chicago and there's so many abandoned lots and worthless condos that could be turned into homeless shelters considering even home owners can't pay the disgusting and unfair property tax. Chicago politicians deserve to loose long time decade old residents like my family to leave this city and never look back.",Chicago
202,R_3hgsVVWOaEp7HYH,,,Chicago
203,R_210R08sMhwZ41HI,"For me I care more about price of rent and size of population, the smaller the better ","For me I care more about price of rent and size of population, the smaller the better ",Chicago
204,R_d4hjYjEPUBnRM8p,I generally favored those with less density,I generally favored those with less density,Chicago
205,R_10YOSNkbEihDZ5e,went byhow they looked,went by how they looked,Chicago
206,R_2rrArHOUBVattdE,no coment,no comment,Chicago
207,R_3QG08hjLrMA3nkv,I don't trust for profit developers.  They are trying to drive middle class and poor people out of the city of Chicago.  ,I don't trust for profit developers.  They are trying to drive middle class and poor people out of the city of Chicago.  ,Chicago
208,R_3qgqBRF5mY2hGEX,,,Chicago
209,R_R2muA30foXKmxrj,"It doesn't matter what residents vote for or against, the city will do what they want, where they want and when they want.","It doesn't matter what residents vote for or against, the city will do what they want, where they want and when they want.",Chicago
210,R_sBWv6iIxHHJCTBv,N/a,,Chicago
211,R_1kXhgosnVlzC6bY,no thing to see,nothing to say,Chicago
212,R_aa6RnBrV9IhR3YR,No,No,Chicago
213,R_2Yc9gqFkYsVZtY2,I'm in favor of increasing the rent by 5% every year. The minimum wage will go up every year so that will create Inflation and the prices on everything will go up including rent ,I'm in favor of increasing the rent by 5% every year. The minimum wage will go up every year so that will create Inflation and the prices on everything will go up including rent ,Chicago
214,R_27p4IJIj1uZnpJU,that the rent a a decent cost,that the rent a decent cost,Chicago
215,R_3qet6WqZwxpTkmO,Doesn't benefit the people in the community ,Doesn't benefit the people in the community ,Chicago
216,R_s87UmQHNoDPd0oV,I did not want a high increased % of capacity. I wanted a % of affordable housing.,I did not want a high increased percent of capacity. I wanted a percent of affordable housing.,Chicago
217,R_2UWOL7RRYRBODxe,because I like it,because I like it,Chicago
218,R_2DZCIhAmq6qOuO5,Becoming familiar with the generic proposal structure can help grant seekers better,Becoming familiar with the generic proposal structure can help grant seekers better,Chicago
219,R_1DZqREIhNv2PTUx,We need to support equitable housing opportunities and not just gentrify every single square inch of the city ,We need to support equitable housing opportunities and not just gentrify every single square inch of the city ,Chicago
220,R_1HkoA9san5B15BE,They just made sense,They just made sense,Chicago
221,R_dbCpgeFqgQYrwTT,its very good,its very good,Chicago
222,R_3DjyPIDT9T2aWtl,Don't want population density to increase. Don't want more crime. ,Don't want population density to increase. Don't want more crime. ,Chicago
223,R_3DtZwbNS60RHnsD,It just seems like they want the best for the community,It just seems like they want the best for the community,Chicago
224,R_3g5WhM1Wau8ruYW,I relied on my experience and best wishes to develop the neighborhood and make it better,I relied on my experience and best wishes to develop the neighborhood and make it better,Chicago
225,R_2X7EjCJrkzdcXRD,as long as the niehborhood is safe and area,as long as the neighborhood is safe and area,Chicago
226,R_3DvieDwml6p7R6U,The proposal suits me,The proposal suits me,Chicago
227,R_82MooGxLkiwvV5f,Government should stay out. They ruin everything.,Government should stay out. They ruin everything.,Chicago
228,R_2RWaGdbj0miQi8G,In any area there should be rent control esp. for low income. ,In any area there should be rent control especially for low income. ,Chicago
229,R_3h4j9jDtZ09AQIY,"I'm all for making rent affordable, but also increasing the building density ","I'm all for making rent affordable, but also increasing the building density ",Chicago
230,R_2WwIF8QuPIimzQN,Na,Na,Chicago
231,R_2BeXSejcuhrroai,"I would be against any proposal that would increase the residents by 100%. We do not get enough police protection, don't have large grocery stores, don't have enough social activities for youths based on the current residents. Additional residents will stretch the already limited services in the community. ","I would be against any proposal that would increase the residents by 100%. We do not get enough police protection, don't have large grocery stores, don't have enough social activities for youths based on the current residents. Additional residents will stretch the already limited services in the community. ",Chicago
232,R_1IWt3McYuccOvQR,,,Chicago
233,R_bxdXbTRBoT4hyaB,Idk,Idk,Chicago
234,R_10osHbtb6Lj8Tbt,I don't have nothing,I don't have nothing,Chicago
235,R_1H0GgrEPzUnLLbt,,,Chicago
236,R_1M3Dur563uNl1aB,"I favored the inclusion of small businesses like cafes, restaurants, etc.","I favored the inclusion of small businesses like cafes, restaurants, etc.",Chicago
237,R_1QaA1G5eRHkT8hd,The overall aesthetic and planning just wasn't for me ,The overall aesthetic and planning just wasn't for me ,Chicago
238,R_3CEf9Zb4FPnjIqE,I care about people being able to afford housing,I care about people being able to afford housing,Chicago
239,R_3NJbxDGcIyrR5mM,"I'm idéal proposal would have some form of rent control, some %-age of housing dedicated to low income, retail mixed with apartments, either community involvement or at least transparency in the forms of info meetings and zero emissions.","My ideal proposal would have some form of rent control, some percentage of housing dedicated to low income, retail mixed with apartments, either community involvement or at least transparency in the forms of info meetings and zero emissions.",Chicago
240,R_A7jv1NAtcwn141X,,,Chicago
241,R_1mFoeMZnE2inqHN,Yes ,Yes ,Chicago
242,R_qyWTUkbiGPetxZf,I do not believe in going back and forth with convictions. I would like to stick with one and make it work,I do not believe in going back and forth with convictions. I would like to stick with one and make it work,Chicago
243,R_24IwoAfxXz6KqQk,It is a very difficult time to be increasing rent for people just to gentrify and make more money for the government,It is a very difficult time to be increasing rent for people just to gentrify and make more money for the government,Chicago
244,R_3F4h23R3TUdX2m6,I really don't have anything against certain proposals but that's just how I feel about it,I really don't have anything against certain proposals but that's just how I feel about it,Chicago
245,R_DiaCPMKneIC6wpP,"Depends on investors, liked mixed use, limit occupancy ","Depends on investors, liked mixed use, limit occupancy ",Chicago
246,R_3KAQ9SfY1qEDC9o,People have to live somewhere that is affordable,People have to live somewhere that is affordable,Chicago
247,R_1IsGVVBQKAjoKJx,In general I chose the options that everyone prefers,In general I chose the options that everyone prefers,Chicago
248,R_22yvSscgkYP52fm,good,good,Chicago
249,R_u1CY55bxLBKPk53,THere are some proposals that would increase the population size ,There are some proposals that would increase the population size ,Chicago
250,R_a4SIipLw4kQDWoN,they seem really good and benefit the area,they seem really good and benefit the area,Chicago
251,R_2fs3Kaw9JClXPsH,,,Chicago
252,R_2uJUNMjyeYbhkzZ,Great proposal,Great proposal,Chicago
253,R_viXgGJu7L5lqXe1,No comment ,No comment ,Chicago
254,R_3ELIybee8zlzNLo,"mixed use is appealing,  rent control is also appealing","mixed use is appealing,  rent control is also appealing",Chicago
255,R_2E4TRmoZxCNM2Vb,Tjtkyky,,Chicago
256,R_2RWJMrMFlAzArAT,Rent increases ,Rent increases ,Chicago
257,R_BsHvf0NeG30fOx3,i think I chose most of my answers because we need a choice too as the community ,I think I chose most of my answers because we need a choice too as the community ,Chicago
258,R_2q7rblYN5twmGHV,Too high dese building will limit the common area.,Too high density building will limit the common area.,Chicago
259,R_3JI9uviAQ2sVAOd,I just want to be sure rent doesn't hike up extremely high and people possibly lose their homes they've lived in for years,I just want to be sure rent doesn't hike up extremely high and people possibly loose their homes they've lived in for years,Chicago
260,R_2ffU7vF7T7ayXVy,I like more density ,I like more density ,Chicago
261,R_2WMCdSTsbA3aF13,"I am not looking forward to population density as I believe it increases the possibility of crime.  But, the two proposals can both be acceptable depending on the implamentation.","I am not looking forward to population density as I believe it increases the possibility of crime.  But, the two proposals can both be acceptable depending on the implementation.",Chicago
262,R_1isqr6LT5lLeT7y,,,Chicago
263,R_1juYGHD2z5EAsKi,Because I didn't feel they were best in certain situations,Because I didn't feel they were best in certain situations,Chicago
